"","x01","x02","x03","x04","x05","x06","x07","x08","x09","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","response"
"1",0.5,0.5,0.972508586,0.5,0.5,0.5,0.5,0.5,0.5,0.896839346,0.943661731,0.067169212,0.819847248,0.5,0.5,0.862296449,0.5,0.5,0.5,0.5,0.954141523250343
"2",0.5,0.5,0.948189053,0.5,0.5,0.5,0.5,0.5,0.5,0.947554882,0.823065815,0.031301432,0.878593981,0.5,0.5,0.709603244,0.5,0.5,0.5,0.5,1.1629749546321
"3",0.5,0.5,0.910088779,0.5,0.5,0.5,0.5,0.5,0.5,0.879574057,0.935964443,0.089430995,0.866811675,0.5,0.5,0.765046434,0.5,0.5,0.5,0.5,1.14790868517457
"4",0.5,0.5,0.84941668,0.5,0.5,0.5,0.5,0.5,0.5,0.90260355,0.795610155,0.046377686,0.892740325,0.5,0.5,0.749706558,0.5,0.5,0.5,0.5,1.6599656615786
"5",0.5,0.5,0.796549981,0.5,0.5,0.5,0.5,0.5,0.5,0.898262349,0.900292549,0.066077036,0.797116389,0.5,0.5,0.866164537,0.5,0.5,0.5,0.5,1.78335003436328
"6",0.5,0.5,0.981497251,0.5,0.5,0.5,0.5,0.5,0.5,0.982216483,0.843792249,0.126564726,0.776223728,0.5,0.5,0.925689707,0.5,0.5,0.5,0.5,1.08966851293228
"7",0.5,0.5,0.873672943,0.5,0.5,0.5,0.5,0.5,0.5,0.984626304,0.785988719,0.181990014,0.861774671,0.5,0.5,0.945930837,0.5,0.5,0.5,0.5,1.21234367983496
"8",0.5,0.5,0.981950437,0.5,0.5,0.5,0.5,0.5,0.5,0.853714933,0.818926895,0.116815623,0.855974792,0.5,0.5,0.887959937,0.5,0.5,0.5,0.5,1.32852080705059
"9",0.5,0.5,0.972737878,0.5,0.5,0.5,0.5,0.5,0.5,0.921621319,0.903457563,0.195801121,0.913722206,0.5,0.5,0.944463186,0.5,0.5,0.5,0.5,0.548339042834242
"10",0.5,0.5,0.792028661,0.5,0.5,0.5,0.5,0.5,0.5,0.9610463,0.99140938,0.216535337,0.877713893,0.5,0.5,0.865789406,0.5,0.5,0.5,0.5,0.791113564345292
"11",0.5,0.5,0.708586166,0.5,0.5,0.5,0.5,0.5,0.5,0.932909245,0.821333894,0.035977376,0.859196617,0.5,0.5,0.871419933,0.5,0.5,0.5,0.5,1.90930092137791
"12",0.5,0.5,0.791442999,0.5,0.5,0.5,0.5,0.5,0.5,0.955670192,0.913116079,0.127089335,0.922925763,0.5,0.5,0.750831425,0.5,0.5,0.5,0.5,1.05388085535438
"13",0.5,0.5,0.914323186,0.5,0.5,0.5,0.5,0.5,0.5,0.879777609,0.797372313,0.124826842,0.875184885,0.5,0.5,0.720216475,0.5,0.5,0.5,0.5,1.63953260469521
"14",0.5,0.5,0.908275718,0.5,0.5,0.5,0.5,0.5,0.5,0.947971986,0.945770868,0.244283124,0.890912858,0.5,0.5,0.984194268,0.5,0.5,0.5,0.5,0.583567047538854
"15",0.5,0.5,0.927378792,0.5,0.5,0.5,0.5,0.5,0.5,0.967732745,0.69620271,0.025966392,0.83267082,0.5,0.5,0.679620723,0.5,0.5,0.5,0.5,2.00181405708433
"16",0.5,0.5,0.918990048,0.5,0.5,0.5,0.5,0.5,0.5,0.981133234,0.863636545,0.014141309,0.752302297,0.5,0.5,0.632265833,0.5,0.5,0.5,0.5,1.82530414207368
"17",0.5,0.5,0.902761221,0.5,0.5,0.5,0.5,0.5,0.5,0.990123401,0.786788577,0.240372378,0.799189072,0.5,0.5,0.867267804,0.5,0.5,0.5,0.5,1.5311943081211
"18",0.5,0.5,0.979695485,0.5,0.5,0.5,0.5,0.5,0.5,0.835106408,0.833931454,0.111439958,0.960917148,0.5,0.5,0.922045812,0.5,0.5,0.5,0.5,0.784151762412347
"19",0.5,0.5,0.826564004,0.5,0.5,0.5,0.5,0.5,0.5,0.905953491,0.912082359,0.238450299,0.911486958,0.5,0.5,0.858413589,0.5,0.5,0.5,0.5,1.05767640894914
"20",0.5,0.5,0.797633124,0.5,0.5,0.5,0.5,0.5,0.5,0.927317224,0.672694267,0.027110547,0.90873474,0.5,0.5,0.805132928,0.5,0.5,0.5,0.5,2.1058114021561
